Attendance,Student_ID
66,ST0001
60,ST0002
51,ST0003
47,ST0004
48,ST0005
64,ST0006
61,ST0007
62,ST0009
50,ST0010
50,ST0011
65,ST0012
62,ST0013
65,ST0014
54,ST0015
65,ST0016
57,ST0017
61,ST0018
47,ST0019
59,ST0020
66,ST0021
64,ST0022
64,ST0023
67,ST0024
65,ST0025
62,ST0026
63,ST0027
65,ST0028
63,ST0029
67,ST0030
64,ST0031
66,ST0032
67,ST0033
63,ST0034
67,ST0035
62,ST0036
59,ST0037
67,ST0038
62,ST0039
62,ST0040
57,ST0041
58,ST0042
66,ST0043
65,ST0044
59,ST0045
64,ST0058
67,ST0046
62,ST0047
67,ST0048
58,ST0050
65,ST0051
63,ST0059
66,ST0052
66,ST0053
61,ST0054
67,ST0055
62,ST0056
62,ST0057
