ENGLISH LANGUAGE,SOCIAL STUDIES,REL. & MORAL EDU.,MATHEMATICS,INTEGRATED SCIENCE,COMPUTING,FRENCH,GH. LANG. (AKUAPEM TWI),CAREER TECHNOLOGY,CREATIVE ARTS & DESIGN,Student_ID
14.0,14.0,17.0,19.0,14.0,17.0,5.0,14.0,15.0,20.0,ST0001
14.0,14.0,16.0,13.0,8.0,17.0,5.0,14.0,14.0,20.0,ST0002
16.0,16.0,16.0,20.0,20.0,17.0,5.0,20.0,13.0,20.0,ST0003
20.0,20.0,16.0,11.0,6.0,12.0,10.0,10.0,14.0,20.0,ST0004
20.0,20.0,19.0,7.0,6.0,15.0,16.0,6.0,15.0,20.0,ST0005
20.0,20.0,16.0,5.0,12.0,12.0,9.0,10.0,14.0,20.0,ST0006
20.0,15.0,17.0,7.0,12.0,12.0,5.0,3.0,15.0,20.0,ST0007
20.0,20.0,16.0,5.0,12.0,12.0,16.0,10.0,15.0,20.0,ST0009
20.0,12.0,19.0,17.0,12.0,15.0,5.0,10.0,14.0,20.0,ST0010
12.0,20.0,16.0,7.0,20.0,14.0,5.0,8.0,13.0,20.0,ST0011
20.0,20.0,16.0,20.0,10.0,16.0,5.0,10.0,15.0,20.0,ST0012
20.0,16.0,19.0,15.0,16.0,15.0,10.0,10.0,14.0,20.0,ST0013
16.0,20.0,19.0,7.0,16.0,15.0,5.0,6.0,13.0,20.0,ST0014
20.0,17.0,16.0,11.0,14.0,17.0,5.0,12.0,15.0,20.0,ST0015
19.0,19.0,19.0,7.0,10.0,14.0,5.0,4.0,14.0,20.0,ST0016
18.0,18.0,17.0,19.0,16.0,17.0,5.0,16.0,13.0,20.0,ST0017
19.0,19.0,19.0,15.0,12.0,20.0,5.0,10.0,15.0,20.0,ST0018
20.0,20.0,16.0,7.0,20.0,16.0,5.0,8.0,13.0,20.0,ST0019
20.0,17.0,10.0,7.0,12.0,15.0,5.0,3.0,14.0,20.0,ST0020
19.0,16.0,17.0,7.0,13.0,12.0,5.0,8.0,15.0,20.0,ST0021
20.0,15.0,16.0,5.0,15.0,15.0,5.0,4.0,13.0,20.0,ST0022
13.0,13.0,19.0,5.0,17.0,15.0,12.0,8.0,14.0,20.0,ST0023
20.0,20.0,19.0,15.0,13.0,15.0,16.0,12.0,15.0,20.0,ST0024
20.0,20.0,19.0,20.0,14.0,15.0,5.0,10.0,14.0,20.0,ST0025
16.0,16.0,10.0,20.0,17.0,13.0,7.0,14.0,15.0,20.0,ST0026
11.0,11.0,17.0,5.0,16.0,13.0,5.0,8.0,13.0,20.0,ST0027
19.0,19.0,17.0,9.0,12.0,12.0,6.0,10.0,15.0,20.0,ST0028
13.0,13.0,16.0,20.0,15.0,12.0,5.0,10.0,14.0,20.0,ST0029
20.0,20.0,19.0,20.0,16.0,17.0,5.0,8.0,13.0,20.0,ST0030
17.0,17.0,19.0,5.0,18.0,17.0,5.0,3.0,13.0,20.0,ST0031
15.0,14.0,16.0,20.0,16.0,15.0,9.0,10.0,14.0,20.0,ST0032
20.0,20.0,19.0,17.0,12.0,15.0,5.0,3.0,15.0,20.0,ST0033
20.0,20.0,17.0,20.0,14.0,11.0,11.0,10.0,14.0,20.0,ST0034
20.0,20.0,19.0,7.0,15.0,12.0,5.0,10.0,15.0,20.0,ST0035
14.0,14.0,19.0,15.0,16.0,17.0,16.0,12.0,13.0,20.0,ST0036
18.0,18.0,16.0,9.0,17.0,17.0,9.0,8.0,10.0,20.0,ST0037
18.0,19.0,19.0,15.0,16.0,11.0,5.0,3.0,14.0,20.0,ST0038
17.56,17.11,16.98,11.39,14.26,15.04,7.37,9.69,13.52,20.0,ST0039
18.0,18.0,16.0,4.0,12.0,20.0,5.0,16.0,15.0,20.0,ST0040
17.0,17.0,16.0,4.0,13.0,15.0,5.0,18.0,14.0,20.0,ST0041
12.0,12.0,19.0,10.0,16.0,15.0,9.0,6.0,10.0,20.0,ST0042
12.0,12.0,16.0,10.0,17.0,17.0,11.0,14.0,15.0,20.0,ST0043
18.0,18.0,19.0,10.0,13.0,20.0,5.0,12.0,13.0,20.0,ST0044
20.0,20.0,16.0,6.0,15.0,12.0,8.0,8.0,14.0,20.0,ST0045
20.0,20.0,16.0,10.0,17.0,11.0,9.0,12.0,10.0,20.0,ST0058
12.0,12.0,17.0,10.0,12.0,12.0,5.0,10.0,15.0,20.0,ST0046
17.56,17.11,16.98,11.39,14.26,15.04,7.37,9.69,13.52,20.0,ST0047
20.0,18.0,16.0,20.0,17.0,20.0,5.0,14.0,15.0,20.0,ST0048
18.0,14.0,16.0,2.0,15.0,12.0,9.0,3.0,10.0,20.0,ST0050
14.0,19.0,17.0,10.0,13.0,20.0,14.0,16.0,13.0,20.0,ST0051
18.0,13.0,17.0,10.0,15.0,15.0,6.0,3.0,10.0,20.0,ST0059
14.0,13.0,16.0,20.0,13.0,17.0,5.0,6.0,14.0,20.0,ST0052
18.0,20.0,16.0,0.0,14.0,18.0,9.0,8.0,10.0,20.0,ST0053
20.0,20.0,17.0,12.0,15.0,14.0,5.0,16.0,10.0,20.0,ST0054
20.0,16.0,19.0,20.0,16.0,15.0,16.0,16.0,15.0,20.0,ST0055
16.0,20.0,16.0,4.0,17.0,17.0,5.0,10.0,10.0,20.0,ST0056
17.56,17.11,16.98,11.39,14.26,15.04,7.37,9.69,13.52,20.0,ST0057
