STUDENT ID,ENGLISH LANGUAGE,SOCIAL STUDIES,REL. & MORAL EDU.,MATHEMATICS,INTEGRATED SCIENCE,COMPUTING,FRENCH,GH. LANG. (AKUAPEM TWI),CAREER TECHNOLOGY,CREATIVE ARTS & DESIGN,50ENGLISH.C,50SOCIAL.C,50RME.C,50MATHS.C,50SCI.C,50COM.C,50FRE.C,50GAN.C,50CTECH.C,CART.C,Student_ID
4056,81.0,18.0,76.0,59.0,71.0,64.0,57.0,82.0,61.0,75.0,40.5,9.0,38.0,29.5,35.5,32.0,28.5,41.0,30.5,37.5,ST0001
567,69.0,66.0,58.0,46.0,67.0,72.0,65.0,54.0,50.0,71.0,34.5,33.0,29.0,23.0,33.5,36.0,32.5,27.0,25.0,35.5,ST0002
749,76.0,66.0,78.0,70.0,68.0,68.0,65.0,75.0,47.0,67.0,38.0,33.0,39.0,35.0,34.0,34.0,32.5,37.5,23.5,33.5,ST0003
2050,67.0,61.0,68.0,23.0,67.0,80.0,45.0,73.0,59.0,69.0,33.5,30.5,34.0,11.5,33.5,40.0,22.5,36.5,29.5,34.5,ST0004
696,67.0,21.0,17.0,23.0,66.0,49.0,40.0,41.0,39.0,66.0,33.5,10.5,8.5,11.5,33.0,24.5,20.0,20.5,19.5,33.0,ST0005
435,72.0,56.0,38.0,42.0,65.0,42.0,55.0,28.0,15.0,64.0,36.0,28.0,19.0,21.0,32.5,21.0,27.5,14.0,7.5,32.0,ST0006
4240,60.0,49.0,24.0,41.0,63.0,55.0,49.0,32.0,22.0,63.0,30.0,24.5,12.0,20.5,31.5,27.5,24.5,16.0,11.0,31.5,ST0007
385,74.0,80.0,78.0,69.0,67.0,72.0,56.0,55.0,76.0,65.0,37.0,40.0,39.0,34.5,33.5,36.0,28.0,27.5,38.0,32.5,ST0009
A319,74.0,64.0,44.0,32.0,66.0,55.0,56.0,55.0,69.0,66.0,37.0,32.0,22.0,16.0,33.0,27.5,28.0,27.5,34.5,33.0,ST0010
714,64.0,72.0,26.0,21.0,65.0,45.0,59.0,40.0,56.0,70.0,32.0,36.0,13.0,10.5,32.5,22.5,29.5,20.0,28.0,35.0,ST0011
7334,72.0,68.0,78.0,42.0,67.0,64.0,47.0,65.0,62.0,70.0,36.0,34.0,39.0,21.0,33.5,32.0,23.5,32.5,31.0,35.0,ST0012
437,71.0,64.0,78.0,60.0,66.0,72.0,65.0,79.0,88.0,70.0,35.5,32.0,39.0,30.0,33.0,36.0,32.5,39.5,44.0,35.0,ST0013
271,76.0,66.0,54.0,21.0,67.0,39.0,44.0,46.0,29.0,69.0,38.0,33.0,27.0,10.5,33.5,19.5,22.0,23.0,14.5,34.5,ST0014
300,71.0,80.0,68.0,51.0,68.0,41.0,52.0,67.0,47.0,68.0,35.5,40.0,34.0,25.5,34.0,20.5,26.0,33.5,23.5,34.0,ST0015
A070,72.0,51.0,6.0,5.0,67.0,10.0,40.0,26.0,45.0,68.0,36.0,25.5,3.0,2.5,33.5,5.0,20.0,13.0,22.5,34.0,ST0016
267,77.0,73.0,65.0,49.0,68.0,57.0,48.0,51.0,47.0,70.0,38.5,36.5,32.5,24.5,34.0,28.5,24.0,25.5,23.5,35.0,ST0017
503,64.0,82.0,78.0,37.0,68.0,39.0,66.0,59.0,69.0,67.0,32.0,41.0,39.0,18.5,34.0,19.5,33.0,29.5,34.5,33.5,ST0018
459,69.0,66.0,64.0,19.0,67.0,66.0,54.0,55.0,57.0,54.0,34.5,33.0,32.0,9.5,33.5,33.0,27.0,27.5,28.5,27.0,ST0019
436,65.0,41.0,24.0,25.0,67.0,37.0,40.0,54.0,44.0,56.0,32.5,20.5,12.0,12.5,33.5,18.5,20.0,27.0,22.0,28.0,ST0020
309,72.0,44.0,32.0,40.0,67.0,45.0,40.0,33.0,28.0,69.0,36.0,22.0,16.0,20.0,33.5,22.5,20.0,16.5,14.0,34.5,ST0021
645,63.0,47.0,19.0,23.0,66.0,35.0,48.0,42.0,49.0,67.0,31.5,23.5,9.5,11.5,33.0,17.5,24.0,21.0,24.5,33.5,ST0022
4070,73.0,81.0,78.0,87.0,70.0,76.0,59.0,64.0,69.0,73.0,36.5,40.5,39.0,43.5,35.0,38.0,29.5,32.0,34.5,36.5,ST0023
624,71.0,76.0,78.0,73.0,68.0,65.0,46.0,47.0,77.0,72.0,35.5,38.0,39.0,36.5,34.0,32.5,23.0,23.5,38.5,36.0,ST0024
387,72.0,84.0,70.0,46.0,74.0,70.0,55.0,68.0,71.0,69.0,36.0,42.0,35.0,23.0,37.0,35.0,27.5,34.0,35.5,34.5,ST0025
554,67.0,66.0,46.0,5.0,71.0,62.0,63.0,70.0,74.0,70.0,33.5,33.0,23.0,2.5,35.5,31.0,31.5,35.0,37.0,35.0,ST0026
445,62.0,63.0,72.0,68.0,68.0,57.0,54.0,42.0,53.0,74.0,31.0,31.5,36.0,34.0,34.0,28.5,27.0,21.0,26.5,37.0,ST0028
A071,73.0,73.0,61.0,67.0,69.0,52.0,62.0,83.0,72.0,75.0,36.5,36.5,30.5,33.5,34.5,26.0,31.0,41.5,36.0,37.5,ST0029
511,65.0,77.0,78.0,67.0,70.0,70.0,70.0,67.0,75.0,73.0,32.5,38.5,39.0,33.5,35.0,35.0,35.0,33.5,37.5,36.5,ST0030
698,63.0,83.0,63.0,28.0,71.0,68.0,58.0,62.0,59.0,72.0,31.5,41.5,31.5,14.0,35.5,34.0,29.0,31.0,29.5,36.0,ST0031
432,72.0,67.0,78.0,62.0,68.0,70.0,58.0,79.0,59.0,73.0,36.0,33.5,39.0,31.0,34.0,35.0,29.0,39.5,29.5,36.5,ST0032
320,71.0,70.0,78.0,41.0,68.0,76.0,45.0,68.0,71.0,72.0,35.5,35.0,39.0,20.5,34.0,38.0,22.5,34.0,35.5,36.0,ST0033
2325,66.0,49.0,69.0,53.0,69.0,68.0,51.0,80.0,61.0,70.0,33.0,24.5,34.5,26.5,34.5,34.0,25.5,40.0,30.5,35.0,ST0034
272,66.0,80.0,56.0,30.0,73.0,45.0,51.0,57.0,76.0,69.0,33.0,40.0,28.0,15.0,36.5,22.5,25.5,28.5,38.0,34.5,ST0035
643,78.0,95.0,73.0,85.0,81.0,78.0,86.0,80.0,85.0,75.0,39.0,47.5,36.5,42.5,40.5,39.0,43.0,40.0,42.5,37.5,ST0036
4062,57.0,62.0,38.0,20.0,69.0,41.0,44.0,62.0,55.0,77.0,28.5,31.0,19.0,10.0,34.5,20.5,22.0,31.0,27.5,38.5,ST0037
670,56.0,52.0,54.0,33.0,65.0,68.0,48.0,46.0,69.0,74.0,28.0,26.0,27.0,16.5,32.5,34.0,24.0,23.0,34.5,37.0,ST0038
514,81.0,75.0,43.0,60.0,67.0,65.0,45.0,76.0,38.0,61.0,40.5,37.5,21.5,30.0,33.5,32.5,22.5,38.0,19.0,30.5,ST0040
270,69.0,73.0,77.0,25.0,70.0,61.0,49.0,74.0,56.0,71.0,34.5,36.5,38.5,12.5,35.0,30.5,24.5,37.0,28.0,35.5,ST0041
318,72.0,87.0,64.0,46.0,67.0,55.0,58.0,73.0,79.0,73.0,36.0,43.5,32.0,23.0,33.5,27.5,29.0,36.5,39.5,36.5,ST0042
4063,88.0,84.0,76.0,66.0,67.0,80.0,71.0,75.0,84.0,71.0,44.0,42.0,38.0,33.0,33.5,40.0,35.5,37.5,42.0,35.5,ST0043
160,81.0,79.0,15.0,44.0,73.0,45.0,45.0,91.0,71.0,75.0,40.5,39.5,7.5,22.0,36.5,22.5,22.5,45.5,35.5,37.5,ST0044
7315,76.0,80.0,78.0,49.0,66.0,70.0,57.0,58.0,70.0,70.0,38.0,40.0,39.0,24.5,33.0,35.0,28.5,29.0,35.0,35.0,ST0045
385,74.0,80.0,48.0,22.0,67.0,68.0,64.0,66.0,49.0,74.0,37.0,40.0,24.0,11.0,33.5,34.0,32.0,33.0,24.5,37.0,ST0058
A244,70.0,86.0,57.0,44.0,67.0,61.0,71.0,59.0,59.0,70.0,35.0,43.0,28.5,22.0,33.5,30.5,35.5,29.5,29.5,35.0,ST0046
