STUDENT ID,ENGLISH LANGUAGE,SOCIAL STUDIES,REL. & MORAL EDU.,MATHEMATICS,INTEGRATED SCIENCE,COMPUTING,FRENCH,GH. LANG. (AKUAPEM TWI),CAREER TECHNOLOGY,CREATIVE ARTS & DESIGN,50ENG,50SOCIAL,50REL. & MO,50MATHS,50SCIENCE,50COM,50FRE,50GAN,50CTECH,50CART,Student_ID
4056,67.0,52.0,78.0,17.0,40.0,33.0,30.0,25.0,52.0,40.0,33.5,26.0,39.0,8.5,20.0,16.5,15.0,12.5,26.0,20.0,ST0001
567,42.0,31.0,56.0,16.0,35.0,33.0,51.0,25.0,36.0,35.0,21.0,15.5,28.0,8.0,17.5,16.5,25.5,12.5,18.0,17.5,ST0002
749,37.0,23.0,77.0,30.0,30.0,50.0,53.0,27.0,56.0,30.0,18.5,11.5,38.5,15.0,15.0,25.0,26.5,13.5,28.0,15.0,ST0003
2050,32.0,19.0,68.0,34.0,60.0,39.0,41.0,23.0,40.0,60.0,16.0,9.5,34.0,17.0,30.0,19.5,20.5,11.5,20.0,30.0,ST0004
696,32.0,40.0,43.0,16.0,37.0,33.0,34.0,27.0,48.0,37.0,16.0,20.0,21.5,8.0,18.5,16.5,17.0,13.5,24.0,18.5,ST0005
435,28.0,24.0,64.0,27.0,28.0,36.0,41.0,34.0,48.0,28.0,14.0,12.0,32.0,13.5,14.0,18.0,20.5,17.0,24.0,14.0,ST0006
4240,16.0,50.0,23.0,16.0,28.0,20.0,21.0,17.0,29.0,28.0,8.0,25.0,11.5,8.0,14.0,10.0,10.5,8.5,14.5,14.0,ST0007
385,47.0,34.0,64.0,25.0,34.0,42.0,52.0,37.0,45.0,34.0,23.5,17.0,32.0,12.5,17.0,21.0,26.0,18.5,22.5,17.0,ST0009
A319,20.0,18.0,55.0,21.0,23.0,32.0,17.0,18.0,31.0,25.0,10.0,9.0,27.5,10.5,11.5,16.0,8.5,9.0,15.5,12.5,ST0010
714,34.0,11.0,41.0,21.0,26.0,28.0,37.0,26.0,40.0,26.0,17.0,5.5,20.5,10.5,13.0,14.0,18.5,13.0,20.0,13.0,ST0011
7334,33.0,22.0,38.0,22.0,33.0,36.0,38.0,36.0,40.0,33.0,16.5,11.0,19.0,11.0,16.5,18.0,19.0,18.0,20.0,16.5,ST0012
437,39.0,40.0,79.0,26.0,49.0,38.0,53.0,26.0,50.0,49.0,19.5,20.0,39.5,13.0,24.5,19.0,26.5,13.0,25.0,24.5,ST0013
271,36.0,26.0,56.0,18.0,33.0,26.0,38.0,17.0,33.0,33.0,18.0,13.0,28.0,9.0,16.5,13.0,19.0,8.5,16.5,16.5,ST0014
300,38.0,47.0,70.0,24.0,40.0,40.0,27.0,43.0,55.0,40.0,19.0,23.5,35.0,12.0,20.0,20.0,13.5,21.5,27.5,20.0,ST0015
A070,43.0,20.0,49.0,20.0,31.0,20.0,21.0,23.0,44.0,31.0,21.5,10.0,24.5,10.0,15.5,10.0,10.5,11.5,22.0,15.5,ST0016
267,46.0,47.0,64.0,24.0,40.0,54.0,49.0,44.0,53.0,49.0,23.0,23.5,32.0,12.0,20.0,27.0,24.5,22.0,26.5,24.5,ST0017
503,46.0,51.0,78.0,26.0,50.0,46.0,56.0,33.0,58.0,50.0,23.0,25.5,39.0,13.0,25.0,23.0,28.0,16.5,29.0,25.0,ST0018
459,51.0,44.0,56.0,19.0,55.0,34.0,41.0,47.0,48.0,55.0,25.5,22.0,28.0,9.5,27.5,17.0,20.5,23.5,24.0,27.5,ST0019
436,34.0,19.0,38.0,22.0,25.0,20.0,22.0,18.0,38.0,25.0,17.0,9.5,19.0,11.0,12.5,10.0,11.0,9.0,19.0,12.5,ST0020
309,26.0,27.0,23.0,21.0,26.0,5.0,38.0,11.0,24.0,26.0,13.0,13.5,11.5,10.5,13.0,2.5,19.0,5.5,12.0,13.0,ST0021
645,37.0,31.0,27.0,24.0,36.0,36.0,36.0,30.0,39.0,36.0,18.5,15.5,13.5,12.0,18.0,18.0,18.0,15.0,19.5,18.0,ST0022
4070,32.0,41.0,51.0,16.0,40.0,28.0,45.0,24.0,44.0,40.0,16.0,20.5,25.5,8.0,20.0,14.0,22.5,12.0,22.0,20.0,ST0023
624,36.0,27.0,55.0,29.0,41.0,30.0,41.0,31.0,44.0,41.0,18.0,13.5,27.5,14.5,20.5,15.0,20.5,15.5,22.0,20.5,ST0024
387,34.0,32.0,58.0,22.0,31.0,26.0,30.0,29.0,36.0,31.0,17.0,16.0,29.0,11.0,15.5,13.0,15.0,14.5,18.0,15.5,ST0025
554,40.0,40.0,60.0,24.0,48.0,38.0,41.0,19.0,43.0,48.0,20.0,20.0,30.0,12.0,24.0,19.0,20.5,9.5,21.5,24.0,ST0026
445,15.0,7.0,42.0,16.0,23.0,30.0,18.0,28.0,13.0,23.0,7.5,3.5,21.0,8.0,11.5,15.0,9.0,14.0,6.5,11.5,ST0028
A071,23.0,16.0,60.0,17.0,40.0,24.0,34.0,14.0,19.0,40.0,11.5,8.0,30.0,8.5,20.0,12.0,17.0,7.0,9.5,20.0,ST0029
511,39.0,38.0,72.0,15.0,43.0,24.0,38.0,36.0,50.0,43.0,19.5,19.0,36.0,7.5,21.5,12.0,19.0,18.0,25.0,21.5,ST0030
698,37.0,22.0,60.0,22.0,43.0,28.0,42.0,31.0,65.0,43.0,18.5,11.0,30.0,11.0,21.5,14.0,21.0,15.5,32.5,21.5,ST0031
432,65.0,39.0,54.0,33.0,37.0,31.0,44.0,33.0,46.0,47.0,32.5,19.5,27.0,16.5,18.5,15.5,22.0,16.5,23.0,23.5,ST0032
320,37.0,24.0,45.0,25.0,45.0,20.0,36.0,22.0,36.0,45.0,18.5,12.0,22.5,12.5,22.5,10.0,18.0,11.0,18.0,22.5,ST0033
2325,26.0,22.0,48.0,21.0,29.0,22.0,44.0,25.0,42.0,39.0,13.0,11.0,24.0,10.5,14.5,11.0,22.0,12.5,21.0,19.5,ST0034
272,31.0,44.0,46.0,20.0,45.0,30.0,45.0,26.0,41.0,45.0,15.5,22.0,23.0,10.0,22.5,15.0,22.5,13.0,20.5,22.5,ST0035
643,62.0,54.0,82.0,39.0,54.0,55.0,55.0,54.0,69.0,54.0,31.0,27.0,41.0,19.5,27.0,27.5,27.5,27.0,34.5,27.0,ST0036
4062,16.0,10.0,30.0,50.0,24.0,16.0,29.0,21.0,16.0,44.0,8.0,5.0,15.0,25.0,12.0,8.0,14.5,10.5,8.0,22.0,ST0037
670,36.0,31.0,63.0,21.0,41.0,27.0,35.0,19.0,44.0,41.0,18.0,15.5,31.5,10.5,20.5,13.5,17.5,9.5,22.0,20.5,ST0038
514,16.0,39.0,74.0,26.0,38.0,51.0,47.0,41.0,63.0,38.0,8.0,19.5,37.0,13.0,19.0,25.5,23.5,20.5,31.5,19.0,ST0040
270,27.0,10.0,43.0,17.0,40.0,29.0,38.0,25.0,30.0,40.0,13.5,5.0,21.5,8.5,20.0,14.5,19.0,12.5,15.0,20.0,ST0041
318,32.0,37.0,38.0,20.0,41.0,32.0,45.0,38.0,38.0,41.0,16.0,18.5,19.0,10.0,20.5,16.0,22.5,19.0,19.0,20.5,ST0042
4063,74.0,71.0,82.0,46.0,49.0,49.0,43.0,64.0,69.0,49.0,37.0,35.5,41.0,23.0,24.5,24.5,21.5,32.0,34.5,24.5,ST0043
160,33.0,38.0,61.0,20.0,48.0,27.0,44.0,32.0,51.0,48.0,16.5,19.0,30.5,10.0,24.0,13.5,22.0,16.0,25.5,24.0,ST0044
