ENGLISH LANGUAGE,SOCIAL STUDIES,REL. & MORAL EDU.,MATHEMATICS,INTEGRATED SCIENCE,COMPUTING,FRENCH,GH. LANG. (AKUAPEM TWI),CAREER TECHNOLOGY,CREATIVE ARTS & DESIGN,Student_ID
20.0,14.0,20.0,20.0,19.0,20.0,12.0,16.0,0.0,18.0,ST0001
20.0,10.0,5.0,20.0,18.0,20.0,12.0,12.0,16.0,18.0,ST0002
20.0,10.0,20.0,20.0,20.0,20.0,14.0,15.0,16.0,18.0,ST0003
20.0,8.0,10.0,18.0,18.0,20.0,10.0,5.0,16.0,18.0,ST0004
20.0,0.0,5.0,18.0,17.0,13.0,10.0,5.0,0.0,18.0,ST0005
20.0,5.0,20.0,20.0,17.0,18.0,20.0,5.0,0.0,18.0,ST0006
20.0,8.0,5.0,20.0,16.0,20.0,14.0,5.0,1.0,18.0,ST0007
20.0,12.0,20.0,16.0,18.0,20.0,12.0,5.0,16.0,18.0,ST0009
20.0,12.0,16.0,20.0,17.0,20.0,12.0,5.0,20.0,18.0,ST0010
20.0,14.0,10.0,16.0,16.0,20.0,16.0,10.0,12.0,18.0,ST0011
20.0,10.0,20.0,20.0,18.0,20.0,10.0,5.0,20.0,18.0,ST0012
20.0,14.0,20.0,20.0,16.0,20.0,12.0,14.0,20.0,18.0,ST0013
20.0,8.0,10.0,16.0,17.0,13.0,10.0,14.0,12.0,18.0,ST0014
20.0,10.0,20.0,18.0,18.0,20.0,12.0,5.0,16.0,18.0,ST0015
20.0,5.0,5.0,0.0,17.0,0.0,10.0,5.0,12.0,18.0,ST0016
20.0,18.0,7.0,16.0,17.0,20.0,10.0,5.0,0.0,18.0,ST0017
20.0,20.0,20.0,20.0,17.0,13.0,14.0,10.0,16.0,18.0,ST0018
20.0,14.0,16.0,14.0,18.0,20.0,14.0,5.0,12.0,18.0,ST0019
20.0,5.0,5.0,20.0,18.0,12.0,12.0,5.0,12.0,18.0,ST0020
20.0,5.0,5.0,20.0,18.0,10.0,10.0,5.0,0.0,18.0,ST0021
20.0,5.0,5.0,18.0,18.0,13.0,10.0,5.0,16.0,18.0,ST0022
20.0,16.0,20.0,16.0,18.0,20.0,10.0,10.0,20.0,20.0,ST0023
20.0,10.0,20.0,20.0,17.0,15.0,12.0,10.0,20.0,20.0,ST0024
20.0,16.0,20.0,20.0,19.0,20.0,14.0,5.0,16.0,20.0,ST0025
20.0,15.0,4.0,0.0,19.0,18.0,12.0,6.0,20.0,20.0,ST0026
20.0,5.0,20.0,18.0,18.0,20.0,14.0,6.0,16.0,20.0,ST0028
20.0,10.0,5.0,20.0,19.0,0.0,14.0,14.0,20.0,20.0,ST0029
20.0,10.0,20.0,20.0,19.0,20.0,14.0,6.0,16.0,20.0,ST0030
20.0,18.0,5.0,16.0,19.0,18.0,12.0,14.0,16.0,20.0,ST0031
20.0,10.0,20.0,20.0,18.0,20.0,10.0,20.0,20.0,20.0,ST0032
20.0,14.0,20.0,20.0,18.0,20.0,10.0,18.0,20.0,20.0,ST0033
20.0,8.0,16.0,20.0,18.0,20.0,14.0,18.0,20.0,20.0,ST0034
20.0,20.0,14.0,18.0,15.0,20.0,14.0,17.0,16.0,20.0,ST0035
20.0,20.0,20.0,20.0,15.0,20.0,20.0,14.0,20.0,20.0,ST0036
20.0,4.0,16.0,14.0,15.0,10.0,10.0,14.0,12.0,20.0,ST0037
20.0,5.0,16.0,16.0,15.0,20.0,10.0,8.0,20.0,20.0,ST0038
20.0,20.0,14.0,20.0,15.0,5.0,10.0,16.0,5.0,20.0,ST0040
20.0,8.0,20.0,20.0,15.0,20.0,14.0,12.0,12.0,20.0,ST0041
20.0,14.0,20.0,20.0,15.0,20.0,12.0,18.0,20.0,20.0,ST0042
20.0,16.0,20.0,20.0,15.0,20.0,18.0,16.0,16.0,20.0,ST0043
20.0,14.0,14.0,20.0,15.0,20.0,10.0,18.0,20.0,20.0,ST0044
20.0,12.0,20.0,20.0,15.0,20.0,14.0,12.0,20.0,20.0,ST0045
20.0,16.0,20.0,0.0,15.0,20.0,12.0,5.0,16.0,20.0,ST0058
20.0,16.0,15.0,18.0,15.0,20.0,10.0,5.0,12.0,20.0,ST0046
20.0,5.0,16.0,20.0,15.0,20.0,20.0,14.0,20.0,20.0,ST0048
20.0,16.0,20.0,20.0,15.0,5.0,5.0,5.0,0.0,20.0,ST0050
20.0,20.0,20.0,16.0,15.0,20.0,16.0,7.0,16.0,20.0,ST0051
20.0,6.0,20.0,20.0,15.0,20.0,18.0,5.0,0.0,20.0,ST0059
20.0,16.0,20.0,20.0,15.0,20.0,12.0,5.0,12.0,20.0,ST0052
20.0,14.0,20.0,20.0,15.0,20.0,14.0,5.0,0.0,20.0,ST0053
20.0,18.0,20.0,0.0,15.0,20.0,10.0,16.0,16.0,20.0,ST0054
20.0,14.0,20.0,20.0,15.0,20.0,14.0,18.0,20.0,20.0,ST0055
20.0,14.0,15.0,16.0,15.0,20.0,10.0,2.0,20.0,20.0,ST0056
