ENGLISH LANGUAGE,SOCIAL STUDIES,REL. & MORAL EDU.,MATHEMATICS,INTEGRATED SCIENCE,COMPUTING,FRENCH,GH. LANG. (AKUAPEM TWI),CAREER TECHNOLOGY,CREATIVE ARTS & DESIGN,Student_ID
15.0,18.0,20.0,16.0,13.0,19.0,15.0,16.0,11.0,18.0,ST0001
14.0,16.0,20.0,20.0,16.0,19.0,15.0,18.0,10.0,17.0,ST0002
13.0,15.0,19.0,12.0,14.0,18.0,19.0,16.0,3.0,13.0,ST0003
12.0,14.0,19.0,12.0,17.0,18.0,18.0,16.0,9.0,17.0,ST0004
10.0,12.0,20.0,12.0,18.0,20.0,15.0,16.0,9.0,13.0,ST0005
11.0,13.0,19.0,10.0,19.0,20.0,15.0,16.0,9.0,14.0,ST0006
12.0,12.0,18.0,10.0,20.0,20.0,15.0,16.0,9.0,16.0,ST0007
14.0,10.0,18.0,20.0,13.0,20.0,15.0,16.0,9.0,15.0,ST0008
16.0,11.0,20.0,20.0,13.0,20.0,19.0,18.0,9.0,18.0,ST0009
18.0,17.0,10.0,20.0,15.0,20.0,19.0,18.0,9.0,19.0,ST0010
16.0,19.0,19.0,20.0,17.0,18.0,15.0,18.0,9.0,20.0,ST0011
20.0,18.0,19.0,10.0,19.0,18.0,17.0,16.0,9.0,12.0,ST0012
12.0,20.0,17.0,10.0,20.0,18.0,15.0,18.0,9.0,14.0,ST0013
19.0,16.0,17.0,10.0,12.0,18.0,18.0,16.0,9.0,16.0,ST0014
18.0,15.0,17.0,20.0,13.0,18.0,18.0,18.0,9.0,17.0,ST0015
16.0,14.0,17.0,16.0,14.0,18.0,17.0,16.0,9.0,12.0,ST0016
18.0,12.0,18.0,10.0,15.0,19.0,15.0,16.0,9.0,13.0,ST0017
16.0,13.0,18.0,20.0,12.0,19.0,17.0,16.0,9.0,15.0,ST0018
17.0,11.0,19.0,20.0,13.0,19.0,17.0,16.0,9.0,16.0,ST0019
16.0,10.0,19.0,10.0,14.0,19.0,18.0,16.0,9.0,17.0,ST0020
14.0,12.0,18.0,20.0,17.0,20.0,15.0,18.0,9.0,20.0,ST0021
13.0,13.0,18.0,20.0,19.0,20.0,15.0,16.0,9.0,12.0,ST0022
16.0,15.0,18.0,10.0,20.0,20.0,19.0,16.0,9.0,13.0,ST0023
16.0,14.0,20.0,20.0,16.0,20.0,17.0,18.0,9.0,14.0,ST0024
14.0,13.0,19.0,20.0,12.0,19.0,19.0,16.0,9.0,16.0,ST0025
18.0,10.0,19.0,20.0,18.0,19.0,15.0,16.0,9.0,17.0,ST0026
18.0,12.0,19.0,10.0,14.0,19.0,17.0,16.0,9.0,20.0,ST0027
17.0,11.0,20.0,10.0,17.0,19.0,15.0,16.0,9.0,13.0,ST0028
12.0,15.0,20.0,10.0,20.0,20.0,18.0,16.0,9.0,15.0,ST0029
12.0,14.0,18.0,10.0,16.0,20.0,15.0,0.0,9.0,14.0,ST0030
10.0,16.0,18.0,10.0,17.0,18.0,19.0,18.0,9.0,15.0,ST0031
11.0,13.0,20.0,20.0,14.0,18.0,15.0,18.0,9.0,16.0,ST0032
16.0,20.0,19.0,10.0,14.0,19.0,15.0,16.0,9.0,18.0,ST0033
12.0,10.0,19.0,10.0,15.0,20.0,17.0,16.0,9.0,19.0,ST0034
13.0,11.0,20.0,16.0,12.0,20.0,17.0,18.0,9.0,20.0,ST0035
13.0,15.0,20.0,20.0,13.0,20.0,15.0,18.0,9.0,19.0,ST0036
16.0,11.0,20.0,12.0,18.0,20.0,15.0,18.0,9.0,20.0,ST0037
15.0,17.0,20.0,20.0,18.0,19.0,15.0,18.0,9.0,12.0,ST0038
18.0,14.0,18.0,20.0,19.0,20.0,15.0,16.0,9.0,15.0,ST0039
15.0,18.0,17.0,16.0,20.0,18.0,18.0,0.0,9.0,13.0,
16.0,16.0,18.0,20.0,20.0,20.0,17.0,18.0,9.0,14.0,ST0040
17.0,18.0,18.0,16.0,19.0,20.0,18.0,18.0,9.0,17.0,ST0041
19.0,20.0,20.0,20.0,20.0,19.0,17.0,16.0,9.0,18.0,ST0042
18.0,16.0,20.0,20.0,13.0,20.0,17.0,18.0,9.0,12.0,ST0043
18.0,14.0,20.0,16.0,15.0,20.0,19.0,18.0,9.0,13.0,ST0044
18.0,15.0,17.0,16.0,17.0,19.0,17.0,16.0,9.0,15.0,ST0045
16.0,12.0,17.0,16.0,18.0,19.0,17.0,18.0,9.0,18.0,ST0058
13.0,13.0,19.0,20.0,12.0,20.0,19.0,16.0,9.0,20.0,ST0046
15.0,15.0,20.0,10.0,13.0,20.0,18.0,16.0,9.0,13.0,ST0047
10.0,17.0,19.0,20.0,14.0,20.0,18.0,16.0,9.0,15.0,ST0048
,,20.0,10.0,15.0,19.0,,16.0,9.0,17.0,ST0049
14.0,16.0,1.0,20.0,18.0,19.0,15.0,16.0,9.0,18.0,ST0050
15.0,13.0,20.0,20.0,20.0,20.0,17.0,16.0,9.0,20.0,ST0051
16.0,14.0,20.0,20.0,16.0,20.0,19.0,18.0,9.0,13.0,ST0059
9.0,12.0,18.0,10.0,18.0,19.0,15.0,16.0,9.0,15.0,ST0052
18.0,10.0,19.0,20.0,19.0,20.0,19.0,16.0,9.0,18.0,ST0053
18.0,13.0,19.0,20.0,20.0,20.0,15.0,18.0,9.0,20.0,ST0054
18.0,18.0,20.0,10.0,20.0,19.0,15.0,16.0,9.0,20.0,ST0055
16.0,17.0,19.0,10.0,19.0,19.0,15.0,16.0,9.0,12.0,ST0056
15.0,13.0,15.0,12.0,18.0,18.0,15.0,12.0,9.0,13.0,ST0057
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
