Attendance,Student_ID
66.0,ST0001
60.0,ST0002
51.0,ST0003
47.0,ST0004
48.0,ST0005
64.0,ST0006
61.0,ST0007
64.0,
62.0,ST0009
50.0,ST0010
50.0,ST0011
65.0,ST0012
62.0,ST0013
65.0,ST0014
54.0,ST0015
65.0,ST0016
57.0,ST0017
61.0,ST0018
47.0,ST0019
59.0,ST0020
66.0,ST0021
64.0,ST0022
64.0,ST0023
67.0,ST0024
65.0,ST0025
62.0,ST0026
63.0,ST0027
65.0,ST0028
63.0,ST0029
67.0,ST0030
64.0,ST0031
66.0,ST0032
67.0,ST0033
63.0,ST0034
67.0,ST0035
62.0,ST0036
59.0,ST0037
67.0,ST0038
,ST0039
62.0,ST0040
57.0,ST0041
58.0,ST0042
66.0,ST0043
65.0,ST0044
59.0,ST0045
64.0,ST0058
67.0,ST0046
,ST0047
67.0,ST0048
58.0,ST0050
65.0,ST0051
63.0,ST0059
66.0,ST0052
66.0,ST0053
61.0,ST0054
67.0,ST0055
62.0,ST0056
,ST0057
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
