STUDENT ID,ENGLISH LANGUAGE,SOCIAL STUDIES,REL. & MORAL EDU.,MATHEMATICS,INTEGRATED SCIENCE,COMPUTING,FRENCH,GH. LANG. (AKUAPEM TWI),CAREER TECHNOLOGY,CREATIVE ARTS & DESIGN,50ENG,50SOCIAL,50REL. & MO,50MATHS,50SCIENCE,50COM,50FRE,50GAN,50CTECH,50CART,Student_ID
4056,56.0,56.0,74.0,25.0,41.0,19.0,44.0,51.0,61.0,57.0,28.0,28.0,37.0,12.5,20.5,9.5,22.0,25.5,30.5,28.5,ST0001
567,41.0,41.0,51.0,30.0,22.0,14.0,42.0,25.0,39.0,45.0,20.5,20.5,25.5,15.0,11.0,7.0,21.0,12.5,19.5,22.5,ST0002
749,26.0,26.0,79.0,13.0,32.0,27.0,44.0,29.0,42.0,26.0,13.0,13.0,39.5,6.5,16.0,13.5,22.0,14.5,21.0,13.0,ST0003
2050,42.0,42.0,62.0,26.0,31.0,18.0,34.0,17.0,40.0,30.0,21.0,21.0,31.0,13.0,15.5,9.0,17.0,8.5,20.0,15.0,ST0004
696,34.0,34.0,48.0,12.0,23.0,14.0,42.0,32.0,43.0,36.0,17.0,17.0,24.0,6.0,11.5,7.0,21.0,16.0,21.5,18.0,ST0005
435,34.0,34.0,55.0,24.0,29.0,12.0,44.0,36.0,42.0,36.0,17.0,17.0,27.5,12.0,14.5,6.0,22.0,18.0,21.0,18.0,ST0006
4240,11.0,11.0,28.0,9.0,17.0,18.0,24.0,14.0,20.0,23.0,5.5,5.5,14.0,4.5,8.5,9.0,12.0,7.0,10.0,11.5,ST0007
727,30.0,30.0,44.0,18.0,31.0,17.0,32.0,18.0,38.0,53.0,15.0,15.0,22.0,9.0,15.5,8.5,16.0,9.0,19.0,26.5,
385,35.0,35.0,84.0,21.0,30.0,21.0,44.0,18.0,38.0,31.0,17.5,17.5,42.0,10.5,15.0,10.5,22.0,9.0,19.0,15.5,ST0009
A319,19.0,19.0,48.0,14.0,16.0,22.0,43.0,22.0,15.0,33.0,9.5,9.5,24.0,7.0,8.0,11.0,21.5,11.0,7.5,16.5,ST0010
714,36.0,36.0,40.0,14.0,28.0,24.0,39.0,15.0,40.0,31.0,18.0,18.0,20.0,7.0,14.0,12.0,19.5,7.5,20.0,15.5,ST0011
7334,32.0,32.0,43.0,19.0,31.0,21.0,31.0,21.0,29.0,27.0,16.0,16.0,21.5,9.5,15.5,10.5,15.5,10.5,14.5,13.5,ST0012
437,27.0,27.0,82.0,18.0,32.0,27.0,24.0,21.0,47.0,34.0,13.5,13.5,41.0,9.0,16.0,13.5,12.0,10.5,23.5,17.0,ST0013
271,26.0,26.0,64.0,5.0,15.0,16.0,53.0,15.0,34.0,35.0,13.0,13.0,32.0,2.5,7.5,8.0,26.5,7.5,17.0,17.5,ST0014
300,40.0,19.0,65.0,24.0,31.0,31.0,55.0,48.0,45.0,61.0,20.0,9.5,32.5,12.0,15.5,15.5,27.5,24.0,22.5,30.5,ST0015
